Date/Time	Electricity:Facility [kW](Hourly)	Fans:Electricity [kW](Hourly)	Cooling:Electricity [kW](Hourly)	Heating:Electricity [kW](Hourly)	InteriorLights:Electricity [kW](Hourly)	InteriorEquipment:Electricity [kW](Hourly)	Gas:Facility [kW](Hourly)	Heating:Gas [kW](Hourly)	Electricity:Facility [kW](Monthly)	Gas:Facility [kW](Monthly)
 01/09  12:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	15.81418627	15.81418627		
 01/09  13:00:00	55.421439	3.478844803	0	0	43.84979677	8.092797425	6.882673471	6.882673471		
 01/09  14:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	4.874592209	4.874592209		
 01/09  15:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	3.861603697	3.861603697		
 01/09  16:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	3.935212526	3.935212526		
 01/09  17:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	6.570798426	6.570798426		
 01/09  18:00:00	29.58629991	0.173227412	0	0	16.44367379	4.046398712	5.90098379	5.90098379		
 01/09  19:00:00	15.81624754	0.400423263	0	0	5.481224596	1.011599678	13.61785826	13.61785826		
 01/09  20:00:00	16.26304685	0.847222574	0	0	5.481224596	1.011599678	28.32849247	28.32849247		
 01/09  21:00:00	16.2424883	0.826664021	0	0	5.481224596	1.011599678	27.30211029	27.30211029		
 01/09  22:00:00	16.64907127	1.233246991	0	0	5.481224596	1.011599678	41.08890318	41.08890318		
 01/09  23:00:00	16.49231044	1.076486162	0	0	5.481224596	1.011599678	35.42102925	35.42102925		
 01/09  24:00:00	16.8610193	1.445195028	0	0	5.481224596	1.011599678	48.13264228	48.13264228		
 01/10  01:00:00	16.57287138	1.157047107	0	0	5.481224596	1.011599678	37.98918197	37.98918197		
 01/10  02:00:00	16.91614693	1.500322657	0	0	5.481224596	1.011599678	49.9163619	49.9163619		
 01/10  03:00:00	16.62902835	1.213204074	0	0	5.481224596	1.011599678	39.76259555	39.76259555		
 01/10  04:00:00	16.98847989	1.572655614	0	0	5.481224596	1.011599678	52.28825509	52.28825509		
